"mgCO2.7"	"mgCO2.14"	"difference"
"WP15"	0.1625	0.2575	-0.095
"WP16"	0.12	0.135	-0.015
"WYC01"	0.553333333333333	0.64	-0.0866666666666667
"WYC02"	0.556666666666667	0.67	-0.113333333333333
"WYC03"	0.303333333333333	0.423333333333333	-0.12
"WYC04"	0.556666666666667	0.62	-0.0633333333333334
"WYC05"	0.346666666666667	0.623333333333333	-0.276666666666667
"WYC06"	0.333333333333333	0.45	-0.116666666666667
"WYC07"	0.43	0.493333333333333	-0.0633333333333334
"WYC08"	0.276666666666667	0.443333333333333	-0.166666666666667
"WYC09"	0.553333333333333	0.583333333333333	-0.0299999999999999
"WYC10"	0.49	0.526666666666667	-0.0366666666666666
"WYC11"	0.33	0.413333333333333	-0.0833333333333333
"WYC12"	0.346666666666667	0.536666666666667	-0.19
"WYC13"	0.516666666666667	0.686666666666667	-0.17
"WYC14"	0.13	0.246666666666667	-0.116666666666667
"WYC15"	0.0966666666666667	0.153333333333333	-0.0566666666666667
"WYC16"	0.25	0.45	-0.2
"WYC17"	0.266666666666667	0.486666666666667	-0.22
"WYC18"	0.38	0.566666666666667	-0.186666666666667
"WYC19"	0.3	0.403333333333333	-0.103333333333333
"WYC20"	0.316666666666667	0.413333333333333	-0.0966666666666667
"WYC21"	0.426666666666667	0.473333333333333	-0.0466666666666667
"WYC22"	0.273333333333333	0.466666666666667	-0.193333333333333
"WYC23"	0.283333333333333	0.51	-0.226666666666667
"WYC24"	0.5	0.503333333333333	-0.0033333333333333
"WYC25"	0.426666666666667	0.723333333333333	-0.296666666666667
"WYC26"	0.333333333333333	0.63	-0.296666666666667
"WYC27"	0.35	0.57	-0.22
"WYC28"	0.0966666666666667	0.423333333333333	-0.326666666666667
"WYC29"	0.28	0.44	-0.16
"WYC30"	0.413333333333333	0.596666666666667	-0.183333333333333
"WYC31"	0.283333333333333	0.506666666666667	-0.223333333333333
